Unnamed: 0,தமிழ் குறள்,ENGLISH VERSE,தமிழ் விளக்கம்,ENGLISH EXPLANATION,Chapters (Adhikarams),அதிகாரம்,இயல்  ,Subdivisions (Iyals),Section (Paal),பால்
562,கடிதோச்சி மெல்ல வெறிக நெடிதாக்கம் நீங்காமை வேண்டு பவர்,"Raise the sceptre swift and stern, but land it softly,
those who wish never to lose what they possess.","குடிகள் அஞ்சும் படியான கொடுமைகளைச் செய்து ஆளும் கொடுங்கோல் அரசனானால், அவன் திண்ணமாக விரைவில் கெடுவான்.","For length of days with still increasing joys on Heav'n who call,
Should raise the rod with brow severe, but let it gently fall.
Let the king, who desires that his prosperity may long remain, commence his preliminary enquires wi th strictness, and then punish with mildness.",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
563,வெருவந்த செய்தொழுகும் வெங்கோல னாயின் ஒருவந்தம் ஒல்லைக் கெடும்,"A king will be isolated and will face rapid ruin,
if he becomes a tyrant indulging in terrifying deeds.","நம் அரசன் கடுமையானவன் என்று குடிகளால் கூறப்படும் கொடுஞ்சொல்லை உடைய அரசன், தன் ஆயுள் குறைந்து விரைவில் கெடுவான்.","Where subjects dread of cruel wrongs endure,
Ruin to unjust king is swift and sure.
The cruel-sceptred king, who acts so as to put his subjects in fear, will certainly and quickly come to ruin.",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
564,இறைகடியன் என்றுரைக்கும் இன்னாச்சொல் வேந்தன் உறைகடுகி ஒல்லைக் கெடும்,"“My king – he is a tyrant” : such a denouncement
is certain to hasten a king’s downfall.","எளிதில் காணமுடியாத அருமையும், இனிமையற்ற முகமும் உடையவனது பெரிய செல்வம், பேய் கண்டு காத்திருப்பதைப் போன்ற தன்மையுடையது.","Ah! cruel is our king', where subjects sadly say,
His age shall dwindle, swift his joy of life decay.
The king who is spoken of as cruel will quickly perish; his life becoming shortened.",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
565,அருஞ்செவ்வி இன்னா முகத்தான் பெருஞ்செல்வம் பேஎய்கண் டன்ன துடைத்து,"Inaccessible and has a harsh countenance – his huge wealth
resembles a treasure protected by demons.",கடுஞ்சொல் உடையவனாய்க் கண்ணோட்டம் இல்லாதவனாய் உள்ளவனுடைய பெரிய செல்வம் நீடித்தல் இல்லாமல் அப்பொழுதே கெடும்.,"Whom subjects scarce may see, of harsh forbidding countenance;
His ample wealth shall waste, blasted by demon's glance.
The great wealth of him who is difficult of access and possesses a sternness of countenance, is like that which has been obtained by a devil.",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
566,கடுஞ்சொல்லன் கண்ணிலன் ஆயின் நெடுஞ்செல்வம் நீடின்றி ஆங்கே கெடும்,"If he is of harsh words, and has no compassion,
his extensive wealth will become extinct soon.",கடுமையான சொல்லும் முறைகடந்த தண்டனையும் அரசனுடைய வெற்றிக்கு காரணமான வலிமையைத் தேய்க்கும் அரம் ஆகும்.,"The tyrant, harsh in speach and hard of eye,
His ample joy, swift fading, soon shall die.
The abundant wealth of the king whose words are harsh and whose looks are void of kindness, will instantly perish instead of abiding long, with him.",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
567,கடுமொழியுங் கையிகந்த தண்டமும் வேந்தன் அடுமுரண் தேய்க்கும் அரம்,"Harsh words and excessive punishments form the saw
that files away the king’s military might.","அமைச்சர் முதலான தன் இனத்தாரிடம் கலந்து எண்ணாத அரசன், சினத்தின் வழியில் சென்று சீறி நிற்பானானால், அவனுடைய செல்வம் சுருங்கும்.","Harsh words and punishments severe beyond the right,
Are file that wears away the monarch's conquering might.
Severe words and excessive punishments will be a file to waste away a king's power for destroying
(his enemies).",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
568,இனத்தாற்றி எண்ணாத வேந்தன் சினத்தாற்றிச் சீறிற் சிறுகுந் திரு,"When the king doesn’t take counsel of his advisers,
and tends to explode with rage, his wealth starts imploding.",முன்னமே தக்கவாறு அரண் செய்து கொள்ளாத அரசன் போர் வந்த காலத்தில் (தற்காப்பு இல்லாமல்) அஞ்சி விரைவில் அழிவான்.,"Who leaves the work to those around, and thinks of it no more;
If he in wrathful mood reprove, his prosperous days are o'er!
The prosperity of that king will waste away, who without reflecting (on his affairs himself), commits them to his ministers, and (when a failure occurs) gives way to anger, and rages against them.",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
569,செருவந்த போழ்திற் சிறைசெய்யா வேந்தன் வெருவந்து வெய்து கெடும்,"When the foes strike, a king who has not built his defences,
will fall swiftly, trembling with fear.","கடுங்கோலாகிய ஆட்சிமுறை கல்லாதவரைத் தனக்கு அரணாகச் சேர்த்துக் கொள்ளும், அது தவிர நிலத்திற்கு சுமை வேறு இல்லை.","Who builds no fort whence he may foe defy,
In time of war shall fear and swiftly die.
The king who has not provided himself with a place of defence, will in times of war be seized with fear and quickly perish.",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
570,கல்லார்ப் பிணிக்குங் கடுங்கோல் அதுவல்ல தில்லை நிலக்குப் பொறை,"A tyrant will assemble an ensemble of the unlearned;
but for them, there is no burden for the earth.","கண்ணோட்டம் என்று சொல்லப்படுகின்ற மிகச் சிறந்த அழகு இருக்கும் காரணத்தால் தான், இந்த உலகம் அழியாமல் இருக்கின்றது.","Tyrants with fools their counsels share:
Earth can no heavier burthen bear!
The earth bears up no greater burden than ignorant men whom a cruel sceptre attaches to itself (as the ministers of its evil deeds).",Absence of 'Terrorism',வெருவந்தசெய்யாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
571,கண்ணோட்டம் என்னுங் கழிபெருங் காரிகை உண்மையான் உண்டிவ் வுலகு,"There exists this stupendous beauty called compassion;
and therefore, the world exists.","கண்ணோட்டத்தினால் உலகியல் நடைபெறுகின்றது, கண்ணோட்டம் இல்லாதவர் உயிரோடு இருத்தல் நிலத்திற்குச் சுமையே தவிர வேறு பயனில்லை.","Since true benignity, that grace exceeding great, resides
In kingly souls, world in happy state abides.
The world exists through that greatest ornament (of princes), a gracious demeanour..",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
572,கண்ணோட்டத் துள்ள துலகியல் அஃதிலார் உண்மை நிலக்குப் பொறை,"It is compassion that keeps the world functioning as it should;
there are those who lack it, and they burden the earth.","பாடலோடு பொருந்துதல் இல்லையானால் இசை என்ன பயனுடையதாகும், அதுபோல் கண்ணோட்டம் இல்லாவிட்டால் கண் என்ன பயனுடையதாகும்.","The world goes on its wonted way, since grace benign is there;
All other men are burthen for the earth to bear.
The prosperity of the world springs from the kindliness, the existence of those who have no (kindliness) is a burden to the earth.",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
573,பண்ணென்னாம் பாடற் கியைபின்றேற் கண்ணென்னாங் கண்ணோட்டம் இல்லாத கண்,"Of what use is a tune that can’t suit any song?
of what use are eyes, which have no compassion?",தக்க அளவிற்குக் கண்ணோட்டம் இல்லாத கண்கள் முகத்தில் உள்ளவை போல் தோன்றுதல் அல்லாமல் வேறு என்ன பயன் செய்யும்.,"Where not accordant with the song, what use of sounding chords?
What gain of eye that no benignant light affords?
Of what avail is a song if it be inconsistent with harmony ? what is the use of eyes which possess no kindliness.",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
574,உளபோல் முகத்தெவன் செய்யும் அளவினாற் கண்ணோட்டம் இல்லாத கண்,"An eye that is not abound with compassion,
what purpose is it serving on the face, feigning existence?","ஒருவனுடைய கண்ணுக்கு அணிகலமாவது கண்ணோட்டம் என்னும் பண்பே, அஃது இல்லையானால் புண் என்று உணரப்படும்.","The seeming eye of face gives no expressive light,
When not with duly meted kindness bright.
Beyond appearing to be in the face, what good do they do, those eyes in which is no well-regulated kindness ?",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
575,கண்ணிற் கணிகலங் கண்ணோட்டம் அஃதின்றேற் புண்ணென் றுணரப் படும்,"Eyes are adorned by compassion; but for it,
they would be considered wounds.",கண்ணோட்டதிற்க்கு உரிய கண்ணோடுப் பொருந்தி இருந்தும் கண்ணோட்டம் இல்லாதவர் (கண் இருந்தும் காணாத ) மரத்தினைப் போன்றவர்.,"Benignity is eyes' adorning grace;
Without it eyes are wounds disfiguring face.
Kind looks are the ornaments of the eyes; without these they will be considered (by the wise) to be merely two sores.",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
576,மண்ணோ டியைந்த மரத்தனையர் கண்ணோ டியைடந்துகண் ணோடா தவர்,"Trees rooted to the land they resemble, those though
born with eyes, don’t use them to be compassionate.","கண்ணோட்டம் இல்லாத மக்கள் கண் இல்லாதவரே ஆவர், கண் உடைய மக்கள் கண்ணோட்டம் இல்லா திருத்தலும் இல்லை.","Whose eyes 'neath brow infixed diffuse no ray
Of grace; like tree in earth infixed are they.
They resemble the trees of the earth, who although they have eyes, never look kindly (on others).",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
577,கண்ணோட்டம் இல்லவர் கண்ணிலர் கண்ணுடையார் கண்ணோட்டம் இன்மையும் இல்,"Those who lack compassion have no eyes;
who truly have eyes can’t lack compassion.",தம் தம் கடமையாகிய தொழில் கெடாமல் கண்ணோட்டம் உடையவராக இருக்க வல்லவர்க்கு இவ்வுலகம் உரிமை உடையது.,"Eyeless are they whose eyes with no benignant lustre shine;
Who've eyes can never lack the light of grace benign.
Men without kind looks are men without eyes; those who (really) have eyes are also not devoid of kind looks.",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
578,கருமஞ் சிதையாமற் கண்ணோட வல்லார்க் குரிமை உடைத்திவ் வுலகு,"The world belongs to those who do their duty unfalteringly,
while being compassionate.",தண்டித்தற்குரிய தன்மை உடையவரிடத்திலும் கண்ணோட்டம் செய்து ( அவர் செய்த குற்றத்தைப்) பொருத்துக் காக்கும் பண்பே சிறந்தது.,"Who can benignant smile, yet leave no work undone;
By them as very own may all the earth be won.
The world is theirs (kings) who are able to show kindness, without injury to their affairs, (administration of justice).",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
579,ஒறுத்தாற்றும் பண்பினார் கண்ணுங்கண் ணோடிப் பொறுத்தாற்றும் பண்பே தலை,"Being compassionate and patient, even with those
who hurt us, is a quality, most admirable.","எவராலும் விரும்பத்தக்க நாகரிகமான கண்ணோட்டத்தை விரும்புகின்றவர், பழகியவர் தமக்கு நஞ்சு இடக்கண்டும் அதை உண்டு அமைவர்.","To smile on those that vex, with kindly face,
Enduring long, is most excelling grace.
Patiently to bear with, and show kindness to those who grieve us, is the most excellent of all dispositions.",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
580,பெயக்கண்டு நஞ்சுண் டமைவர் நயத்தக்க நாகரிகம் வேண்டு பவர்,"Even after seeing poison being poured, they will consume it
and converse cordially,
they who seek to be captivatingly civilized and compassionate.",ஒற்றரும் புகழ் அமைந்த நீதிநூலும் ஆகிய இவ்விருவகைக் கருவிகளையும் அரசன் தன்னுடைய கண்களாகத் தெளியவேணடும்.,"They drink with smiling grace, though poison interfused they see,
Who seek the praise of all-esteemed courtesy.
Those who desire (to cultivate that degree of) urbanity which all shall love, even after swallowing the poison served to them by their friends, will be friendly with them.",Benignity,கண்ணோட்டம்,அரசியல்,Royalty,WEALTH,பொருட்பால்
581,ஒற்றும் உரைசான்ற நூலும் இவையிரண்டும் தெற்றென்க மன்னவன் கண்,"Intelligence operations and highly regarded books –
a king should consider them his eyes.",எல்லாரிடத்திலும் நிகழ்கின்றவை எல்லாவற்றையும் எக்காலத்திலும் (ஒற்றரைக் கொண்டு) விரைந்து அறிதல் அரசனுக்குரிய தொழிலாகும்.,"These two: the code renowned and spies,
In these let king confide as eyes.
Let a king consider as his eyes these two things, a spy and a book (of laws) universally esteemed.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
582,எல்லார்க்கும் எல்லாம் நிகழ்பவை எஞ்ஞான்றும் வல்லறிதல் வேந்தன் தொழில்,"Knowing everything that happens to everyone – to always gain such intelligence
at great speed is the duty of a king.",ஒற்றரால் (நாட்டு நிகழ்ச்சிகளை) அறிந்து அவற்றின் பயனை ஆராய்ந்துணராத அரசன் வெற்றிபெறத்தக்க வழி வேறு இல்லை.,"Each day, of every subject every deed,
'Tis duty of the king to learn with speed.
It is the duty of a king to know quickly (by a spy) what all happens, daily, amongst all men.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
583,ஒற்றினான் ஒற்றிப் பொருள்தெரியா மன்னவன் கொற்றங் கொளக்கிடந்த தில்,"There is no better way to victory for a king than
deploying spies on surveillance and gathering credible intelligence.","தம்முடைய தொழிலைச் செய்கின்றவர், தம் சுற்றத்தார், தம் பகைவர் என்றுக்கூறப்படும் எல்லாரையும் ஆராய்வதே ஒற்றரின் தொழிலாகும்.","By spies who spies, not weighing things they bring,
Nothing can victory give to that unwary king.
There is no way for a king to obtain conquests, who knows not the advantage of discoveries made by a spy.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
584,வினைசெய்வார் தஞ்சுற்றம் வேண்டாதா ரென்றாங் கனைவரையும் ஆராய்வ தொற்று,"Having everyone – officials, kin and foes,
under surveillance is the job of a spy.","ஐயுற முடியாத உருவத்தோடு, பார்த்தவருடைய கண் பார்வைக்கு அஞ்சாமல் எவ்விடத்திலும் மனதிலுள்ளதை வெளிப்படுத்தாமல் இருக்க வல்லவனே ஒற்றன் ஆவன்.","His officers, his friends, his enemies,
All these who watch are trusty spies.
He is a spy who watches all men, to wit, those who are in the king's employment, his relatives, and his enemies.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
585,கடாஅ உருவொடு கண்ணஞ்சா தியாண்டும் உகாஅமை வல்லதே ஒற்று,"A spy should be capable of inconspicuous appearance,
fearlessly looking into others’ eyes and never disclosing critical facts.","துறந்தவரின் வடிவத்தை உடையவராய், அறிய இடங்களிலெல்லாம் சென்று ஆராய்ந்து (ஐயுற்றவர்) என்ன செய்தாலும் சோர்ந்து விடாதவரே ஒற்றர் ஆவர்.","Of unsuspected mien and all-unfearing eyes,
Who let no secret out, are trusty spies.
A spy is one who is able to assume an appearance which may create no suspicion (in the minds of others), who fears no man's face, and who never reveals (his purpose).",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
586,துறந்தார் படிவத்த ராகி இறந்தாராய்ந் தென்செயினுஞ் சோர்வில தொற்று,"A spy should be able to go incognito, as an ascetic and others,
infiltrate all places, and tirelessly gather intelligence by any means.",மறைந்த செய்திகளையும் கேட்டறிய வல்லவனாய் அறிந்த செய்திகளை ஐயப்படாமல் துணிய வல்லவனாய் உள்ளவனே ஒற்றன் ஆவான்.,"As monk or devotee, through every hindrance making way,
A spy, whate'er men do, must watchful mind display.
He is a spy who, assuming the appearance of an ascetic, goes into (whatever place he wishes), examines into (all, that is needful), and never discovers himself, whatever may be done to him.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
587,மறைந்தவை கேட்கவற் றாகி அறிந்தவை ஐயப்பா டில்லதே ஒற்று,"A spy should be capable of extracting top secrets nonchalantly,
and verifying their veracity beyond doubt.",ஓர் ஒற்றன் மறைந்து கேட்டுத் தெரிவித்தச் செய்தியையும் மற்றோர் ஒற்றனால் கேட்டு வரச் செய்து ஒப்புமை கண்டபின் உண்மை என்றுக் கொள்ள வேண்டும்.,"A spy must search each hidden matter out,
And full report must render, free from doubt.
A spy is one who is able to discover what is hidden and who retains no doubt concerning what he has known.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
588,ஒற்றொற்றித் தந்த பொருளையும் மற்றுமோர் ஒற்றினால் ஒற்றிக் கொளல்,"Ascertain even the intelligence gathered by a spy
by deploying another spy.","ஓர் ஒற்றனை மற்றோர் ஒற்றன் அறியாதபடி ஆள வேண்டும், அவ்வாறு ஆளப்பட்ட ஒற்றர் மூவரின் சொல் ஒத்திருந்தால் அவை உண்மை எனத் தெளியப்படும்.","Spying by spies, the things they tell
To test by other spies is well.
Let not a king receive the information which a spy has discovered and made known to him, until he has examined it by another spy.
",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
589,ஒற்றொற் றுணராமை யாள்க உடன்மூவர் சொற்றொக்க தேறப் படும்,"Lead the sleuths such that they don’t know each other;
when three of them concur on an input, you know it is reliable.","ஒற்றனிடத்தில் செய்யும் சிறப்பைப் பிறர் அறியுமாறு செய்யக்கூடாது, செய்தால் மறைபொருளைத்தானே வெளிப்படுத்தியவன் ஆவான்.","One spy must not another see: contrive it so;
And things by three confirmed as truth you know.
Let a king employ spies so that one may have no knowledge of the other; and when the information of three agrees together, let him receive it.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
590,சிறப்பறிய ஒற்றின்கண் செய்யற்க செய்யிற் புறப்படுத்தான் ஆகும் மறை,"When you honour a spy, do it not in public; else,
you would broadcast your own secret.","ஒருவர் பெற்றிருக்கின்றார் என்று சொல்லத்தக்க சிறப்புடையது ஊக்கமாகும், ஊக்கம் இல்லாதவர் வேறு எதைப் பெற்றிருந்தாலும் அதை உடையவர் ஆவரோ.","Reward not trusty spy in others' sight,
Or all the mystery will come to light.
Let not a king publicly confer on a spy any marks of his favour; if he does, he will divulge his own secret.",Detectives,ஒற்றாடல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
591,உடையர் எனப்படுவ தூக்கமஃ தில்லார் உடைய துடையரோ மற்று,"The haves are haves if they have zeal; if they have it not,
they are have-nots, whatever else they may have.","ஒருவர்க்கு ஊக்கமுடைமையே நிலையான உடைமையாகும், மற்றப் பொருளுடைமையானது நிலைபேறு இல்லாமல் நீங்கிவிடுவதாகும்.","Reward not trusty spy in others' sight,
Or all the mystery will come to light.
Let not a king publicly confer on a spy any marks of his favour; if he does, he will divulge his own secret.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
592,உள்ள முடைமை உடைமை பொருளுடைமை நில்லாது நீங்கி விடும்,"Possessing passion is the true possession; all other wealth
is transient and will vanish.","ஊக்கத்தை உறுதியாகத் தம்கைப் பொருளாக உடையவர், ஆக்கம்( இழந்து விட்டக்காலத்திலும்) இழந்து விட்டோம் என்று கலங்க மாட்டார்.","The wealth of mind man owns a real worth imparts,
Material wealth man owns endures not, utterly departs.
The possession of (energy of) mind is true property; the possession of wealth passes away and abides not.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
593,ஆக்கம் இழந்தேமென் றல்லாவார் ஊக்கம் ஒருவந்தங் கைத்துடை யார்,"They will not bemoan the loss of wealth,
they who have enduring zeal.",சோர்வு இல்லாத ஊக்கம் உடையவனிடத்தில் ஆக்கமானது தானே அவன் உள்ள இடத்திற்கு வழிக் கேட்டுக்கொண்டு போய்ச் சேரும்.,"Lost is our wealth,' they utter not this cry distressed,
The men of firm concentred energy of soul possessed.
They who are possessed of enduring energy will not trouble themselves, saying, ""we have lost our property.""",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
594,ஆக்கம் அதர்வினாய்ச் செல்லும் அசைவிலா ஊக்க முடையா னுழை,"Wealth, on its own, will find the way to reach
those with unflagging fervor.","நீர்ப்பூக்களின் தாளின் நீளம் அவை நின்ற நீரின் அளவினவாகும், மக்களின் ஊக்கத்தை அளவினதாகும் வாழ்க்கையின் உயர்வு.","The man of en ergy of soul inflexible,
Good fortune seeks him out and comes a friend to dwell.
Wealth will find its own way to the man of unfailing energy.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
595,வெள்ளத் தனைய மலர்நீட்டம் மாந்தர்தம் உள்ளத் தனைய துயர்வு,"The depth of water determines how tall an aquatic plant grows;
zeal in the heart dictates how far man goes.","எண்ணுவதெல்லாம் உயர்வைப்பற்றியே எண்ண வேண்டும், அவ் வுயர்வுக் கைகூடாவிட்டாலும் அவ்வாறு எண்ணுவதை விடக்கூடாது.","With rising flood the rising lotus flower its stem unwinds;
The dignity of men is measured by their minds.
The stalks of water-flowers are proportionate to the depth of water; so is men's greatness proportionate to their minds.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
596,உள்ளுவ தெல்லாம் உயர்வுள்ளல் மற்றது தள்ளினுந் தள்ளாமை நீர்த்து,"Fervently aspire for the best; even if you fail,
it is still as good as succeeding.","உடம்பை மறைக்குமளவு அம்புகளால் புண்பட்டும் யானைத் தன் பெருமையை நிலைநிறுத்தும், அதுபோல் ஊக்கம் உடையவர் அழிவு வந்தவிடத்திலும் தளர மாட்டார்.","Whate'er you ponder, let your aim be loftly still,
Fate cannot hinder always, thwart you as it will.
In all that a king thinks of, let him think of his greatness; and if it should be thrust from him (by fate), it will have the nature of not being thrust from him.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
597,சிதைவிடத் தொல்கார் உரவோர் புதையம்பிற் பட்டுப்பா டூன்றுங் களிறு,"The zealous won’t flinch in the face of trouble;
the elephant, even if buried under a barrage of arrows, never relents.",ஊக்கம் இல்லாதவர் இவ்வுலகில் யாம் வண்மை உடையேம் என்றுத் தம்மைத் தான் எண்ணி மகிழும் மகிழ்ச்சியை அடையமாடடார்.,"The men of lofty mind quail not in ruin's fateful hour,
The elephant retains his dignity mind arrows' deadly shower.
The strong minded will not faint, even when all is lost; the elephant stands firm, even when wounded by a shower of arrows.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
598,உள்ளம் இலாதவர் எய்தார் உலகத்து வள்ளியம் என்னுஞ் செருக்கு,"Those without zeal, will never attain
the pride of being hailed as generous.","யானை பருத்த உடம்பை உடையது, கூர்மையானக் கொம்புகளை உடையது, ஆயினும் ஊக்கமுள்ளதாகியப் புலி தாக்கினால் அதற்கு அஞ்சும்.","The soulless man can never gain
Th' ennobling sense of power with men.
Those who have no (greatness of) mind, will not acquire the joy of saying in the world, ""we have excercised liaberality"".
",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
599,பரியது கூர்ங்கோட்ட தாயினும் யானை வெரூஉம் புலிதாக் குறின்,"It is huge; it has sharp tusks; yet, the tusker
is frightened when the tiger attacks.","ஒருவனுக்கு வலிமையானது ஊக்க மிகுதியே, அவ்வூக்கம் இல்லாதவர் மரங்களே, (வடிவால்) மக்களைப் போல் இருத்தலே வேறுபாடு.","Huge bulk of elephant with pointed tusk all armed,
When tiger threatens shrinks away alarmed!
Although the elephant has a large body, and a sharp tusk, yet it fears the attack of the tiger.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
600,உரமொருவற் குள்ள வெறுக்கையஃ தில்லார் மரமக்க ளாதலே வேறு,"Abundant zeal is one’s strength and wisdom; those without it
are trees, their human form being the only difference.","ஒருவனுக்கு தன் குடியாகிய மங்காத விளக்கு, அவனுடைய சோம்பலாகிய மாசு படிய படிய ஒளி மங்கிக் கெட்டுவிடும்.","Firmness of soul in man is real excellance;
Others are trees, their human form a mere pretence.
Energy is mental wealth; those men who are destitute of it are only trees in the form of men.",Energy,ஊக்கமுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
601,குடியென்னுங் குன்றா விளக்கம் மடியென்னும் மாசூர மாய்ந்து கெடும்,"The inextinguishable flame of distinguished ancestry will be put out,
if the filth of sloth starts blocking it.",தம் குடியைச் சிறப்புடைய குடியாக விளங்குமாறு செய்ய விரும்புகின்றவர் சோம்பலைச் சோம்பலாகக் கொண்டு முயற்சியுடையவராய் நடக்க வேண்டும்.,"Of household dignity the lustre beaming bright,
Flickers and dies when sluggish foulness dims its light.
By the darkness, of idleness, the indestructible lamp of family (rank) will be extinguished.",Unsluggishness,மடியின்மை,அரசியல்,Royalty,WEALTH,பொருட்பால்
602,மடியை மடியா ஒழுகல் குடியைக் குடியாக வேண்டு பவர்,"Only laziness can harm as much as laziness; treat it as such
if you wish your family to remain a family.",அழிக்கும் இயல்புடைய சோம்பலைத் தன்னிடம் கொண்டு நடக்கும் அறிவவில்லாதவன் பிறந்த குடி அவனுக்கு முன் அழிந்துவிடும்.,"Let indolence, the death of effort, die,
If you'd uphold your household's dignity.
Let those, who desire that their family may be illustrious, put away all idleness from their conduct.",Unsluggishness,மடியின்மை,அரசியல்,Royalty,WEALTH,பொருட்பால்
603,மடிமடிக் கொண்டொழுகும் பேதை பிறந்த குடிமடியுந் தன்னினு முந்து,"The imbecile who lives clutching the fatal indolence,
will see his family’s demise before his own.",சோம்பலில் அகப்பட்டு சிறந்த முயற்சி இல்லாதவராய் வாழ்கின்றவர்க்கு குடியின் பெருமை அழிந்து குற்றம் பெருகும்.,"Who fosters indolence within his breast, the silly elf!
The house from which he springs shall perish ere himself.
The (lustre of the) family of the ignorant man, who acts under the influence of destructive laziness will perish, even before he is dead.",Unsluggishness,மடியின்மை,அரசியல்,Royalty,WEALTH,பொருட்பால்
604,குடிமடிந்து குற்றம் பெருகும் மடிமடிந்து மாண்ட உஞற்றி லவர்க்கு,"A ruler who falls into the lap of laziness and doesn’t strive hard,
will witness the destruction of his subjects and an upsurge in crime.","காலம் நீட்டித்தல், சோம்பல், மறதி, அளவு மீறியத் தூக்கம் ஆகிய இந் நான்கும் கெடுகின்ற இயல்புடையவர் விரும்பி ஏறும் மரக்கலமாம்.","His family decays, and faults unheeded thrive,
Who, sunk in sloth, for noble objects doth not strive.
Family (greatness) will be destroyed, and faults will increase, in those men who give way to laziness, and put forth no dignified exertions.",Unsluggishness,மடியின்மை,அரசியல்,Royalty,WEALTH,பொருட்பால்
605,நெடுநீர் மறவி மடிதுயில் நான்கும் கெடுநீரார் காமக் கலன்,"Procrastination, neglect, sloth and slumber : these four
are the ship that is boarded lovingly by habitual losers.","நாட்டை ஆளும் தலைவருடைய உறவுத் தானே வந்து சேர்ந்தாலும், சோம்பல் உடையவர் சிறந்த பயனை அடைய முடியாது.","Delay, oblivion, sloth, and sleep: these four
Are pleasure-boat to bear the doomed to ruin's shore.
Procrastination, forgetfulness, idleness, and sleep, these four things, form the vessel which is desired by those destined to destruction.
",Unsluggishness,மடியின்மை,அரசியல்,Royalty,WEALTH,பொருட்பால்
606,படியுடையார் பற்றமைந்தக் கண்ணும் மடியுடையார் மாண்பயன் எய்தல் அரிது,"It is unlikely that the lazy will prosper,
even if they inherit the riches of an emperor.",சோம்பலை விரும்பி மேற்க் கொண்டு சிறந்த முயற்சி இல்லாதவராய் வாழ்கின்றவர் பிறர் இடித்துக் கூறி இகழ்கின்ற சொல்லைக் கேட்கும் நிலைமை அடைவர்.,"Though lords of earth unearned possessions gain,
The slothful ones no yield of good obtain.
It is a rare thing for the idle, even when possessed of the riches of kings who ruled over the whole earth, to derive any great benefit from it.",Unsluggishness,மடியின்மை,அரசியல்,Royalty,WEALTH,பொருட்பால்
